email_type,subcategory,subject,body,source
Phishing Email,insurance_claim,Claim #55291 Denied - Resubmission Required,"Hi, we tried to process claim #55291 from your office but it was denied due to a coding mismatch. Please resubmit with the corrected code using the link below within the next 5 business days so we can reissue payment. hxxp://claims-resubmit-portal.net Thanks, Billing Office, Riverside Family Clinic",synthetic_llm_batch4
Phishing Email,insurance_claim,URGENT: NPI Re-Verification Deadline Today,"Your NPI record requires re-verification by end of day or your claims will be suspended pending manual review. Verify now: hxxp://npi-reverify.info Fraud Review Unit, Meridian Health Insurance Group",synthetic_llm_batch4
Phishing Email,insurance_claim,Overpayment Detected on Account #33210,"Our audit team has identified an overpayment of $860.00 on account #33210 tied to your practice. Per your provider agreement, this amount must be returned within 30 days. Please complete the attached refund authorization form and return it to this address. Claims Department, BrightPath Insurance",synthetic_llm_batch4
Phishing Email,insurance_claim,Re: Your Appeal for Claim #91820,"Hi, this is Tom Reyes following up on the appeal for claim #91820. We're missing a couple of supporting documents before we can finalize a decision. Can you upload them here so I can push this through today? hxxp://appeal-docs-upload.net Thanks, Tom, Value Rx Pharmacy Benefits",synthetic_llm_batch4
Phishing Email,insurance_claim,Coordination of Benefits - Action Needed,"Our records indicate you may have other active health coverage that has not yet been confirmed. Federal coordination of benefits rules require us to verify this information before we can continue processing claims on your account. Please confirm your other coverage details, or lack thereof, within 10 calendar days at the secure link below to avoid a hold on pending claims. hxxp://cob-verify.org Member Services, HarborLine Health Plan",synthetic_llm_batch4
Phishing Email,insurance_claim,Claim Under Review - Provide Additional Info,"Your claim is under review. Please respond by Friday with the requested documentation or the claim will be closed. See attached request form. Billing, St. Augustine Medical Center",synthetic_llm_batch4
Phishing Email,insurance_claim,Your Provider Account Requires Re-Credentialing,"As part of our routine network compliance cycle, your provider account must be re-credentialed within 15 days. Accounts not re-credentialed by the deadline will be removed from our network and future claims may be denied. Begin the process here: hxxp://recred-portal.net Provider Relations, Keystone Health Partners",synthetic_llm_batch4
Phishing Email,insurance_claim,Refund Request - Duplicate Payment Received,"A duplicate payment of $410.22 was issued to your account in error. To process the reversal, confirm your banking details here: hxxp://refund-confirm.net Continental Care Insurance, Automated Claims System",synthetic_llm_batch4
Phishing Email,insurance_claim,Subrogation Notice for Patient Account,"This letter serves as formal notice that a subrogation claim has been opened regarding a patient account associated with your facility. Under the terms of applicable policy provisions, we are entitled to recover certain payments related to this claim. Please review the case details and respond within 20 days at the link provided to avoid further collection action. hxxp://subrogation-case-review.com National Health Recovery Services, Subrogation Unit",synthetic_llm_batch4
Phishing Email,insurance_claim,Missing W-9 - Payments On Hold,"Hi there, we're holding two payments on your account because we don't have a current W-9 on file. Could you complete the attached form and reply with it when you get a chance? Thanks so much, Accounts Receivable, Lakeshore Pediatrics",synthetic_llm_batch4
Phishing Email,insurance_claim,Claim Escalated to Collections Review,"This is a notice that the balance on a patient account linked to your department has been flagged for escalation to collections review. To prevent this from proceeding, please confirm the account details and resolve any discrepancy within 5 business days. hxxp://collections-resolve.net Crestview Regional Billing Services",synthetic_llm_batch4
Phishing Email,insurance_claim,Time-Sensitive: Claim Adjustment Needed,"Hey, it's Priya Nair on the adjustments team. We owe your practice an additional $128 on a recent pharmacy claim but need to confirm the routing number is current before we can release it. Mind confirming here? hxxp://adjustment-payment.net Thanks! ValueScript Pharmacy Insurance",synthetic_llm_batch4
