email_type,subcategory,subject,body,source
Safe Email,lab_results_genuine,Your Lab Results Are Now Available,"Hello Maria, your recent lab results have been posted to your patient portal. You can view them by logging in at https://patientportal.riversidehealth.org/results. If you have questions about your results, please schedule a follow-up appointment or send a message through the portal. Best, Community Health Lab Services",synthetic_llm_batch_url_patch
Safe Email,lab_results_genuine,Your Lab Results Are Now Available,"Hi James, your lab work ordered by Dr. Chen is now ready to view. Log in to your account at https://mychart-app.com/labs to see the full report. Reach out through the portal if you'd like to discuss the results with your provider. Thanks, Riverside Health",synthetic_llm_batch_url_patch
Safe Email,lab_results_genuine,Your Lab Results Are Now Available,"Aisha, this is a notification that new lab results have been added to your chart. You can review them any time at https://portal.eastsidefamilyclinic.com. Your care team will follow up if any results need discussion. Regards, Eastside Family Clinic",synthetic_llm_batch_url_patch
Safe Email,lab_results_genuine,Your Lab Results Are Now Available,"Hello Robert, results from your visit on April 9th are now available. Sign in to your patient account at https://patientportal.riversidehealth.org/results to view the full report and any provider notes. Thank you for choosing Community Health Lab Services.",synthetic_llm_batch_url_patch
Safe Email,lab_results_genuine,Your Lab Results Are Now Available,"Hi Linda, Dr. Alvarez has released your lab results to your online chart. View them at https://mychart-app.com/my-results whenever it's convenient. Message us through the portal with any questions. Best, Riverside Health",synthetic_llm_batch_url_patch
Safe Email,lab_results_genuine,Your Lab Results Are Now Available,"Hello David, your recent lab results have been posted to your patient portal. You can view them by logging in at https://portal.eastsidefamilyclinic.com/results. If you have questions about your results, please schedule a follow-up appointment or send a message through the portal. Best, Eastside Family Clinic",synthetic_llm_batch_url_patch
Safe Email,lab_results_genuine,Your Lab Results Are Now Available,"Hi Priya, your lab work ordered by Dr. Whitfield is now ready to view. Log in to your account at https://patientportal.riversidehealth.org/labs to see the full report. Reach out through the portal if you'd like to discuss the results with your provider. Thanks, Community Health Lab Services",synthetic_llm_batch_url_patch
Safe Email,lab_results_genuine,Your Lab Results Are Now Available,"Thomas, this is a notification that new lab results have been added to your chart. You can review them any time at https://mychart-app.com. Your care team will follow up if any results need discussion. Regards, Riverside Health",synthetic_llm_batch_url_patch
Safe Email,lab_results_genuine,Your Lab Results Are Now Available,"Hello Grace, results from your visit on May 22nd are now available. Sign in to your patient account at https://portal.eastsidefamilyclinic.com/results to view the full report and any provider notes. Thank you for choosing Eastside Family Clinic.",synthetic_llm_batch_url_patch
Safe Email,lab_results_genuine,Your Lab Results Are Now Available,"Hi Samuel, Dr. Sato has released your lab results to your online chart. View them at https://patientportal.riversidehealth.org/my-results whenever it's convenient. Message us through the portal with any questions. Best, Community Health Lab Services",synthetic_llm_batch_url_patch
Safe Email,lab_results_genuine,Your Lab Results Are Now Available,"Hello Elena, your recent lab results have been posted to your patient portal. You can view them by logging in at https://mychart-app.com/results. If you have questions about your results, please schedule a follow-up appointment or send a message through the portal. Best, Riverside Health",synthetic_llm_batch_url_patch
Safe Email,lab_results_genuine,Your Lab Results Are Now Available,"Hi Michael, your lab work ordered by Dr. Chen is now ready to view. Log in to your account at https://portal.eastsidefamilyclinic.com/labs to see the full report. Reach out through the portal if you'd like to discuss the results with your provider. Thanks, Eastside Family Clinic",synthetic_llm_batch_url_patch
Safe Email,lab_results_genuine,Your Lab Results Are Now Available,"Chidi, this is a notification that new lab results have been added to your chart. You can review them any time at https://patientportal.riversidehealth.org. Your care team will follow up if any results need discussion. Regards, Community Health Lab Services",synthetic_llm_batch_url_patch
Safe Email,lab_results_genuine,Your Lab Results Are Now Available,"Hello Susan, results from your visit on April 9th are now available. Sign in to your patient account at https://mychart-app.com/results to view the full report and any provider notes. Thank you for choosing Riverside Health.",synthetic_llm_batch_url_patch
Safe Email,lab_results_genuine,Your Lab Results Are Now Available,"Hi Carlos, Dr. Alvarez has released your lab results to your online chart. View them at https://portal.eastsidefamilyclinic.com/my-results whenever it's convenient. Message us through the portal with any questions. Best, Eastside Family Clinic",synthetic_llm_batch_url_patch
Safe Email,lab_results_genuine,Your Lab Results Are Now Available,"Hello Nina, your recent lab results have been posted to your patient portal. You can view them by logging in at https://patientportal.riversidehealth.org/results. If you have questions about your results, please schedule a follow-up appointment or send a message through the portal. Best, Community Health Lab Services",synthetic_llm_batch_url_patch
Safe Email,lab_results_genuine,Your Lab Results Are Now Available,"Hi Brian, your lab work ordered by Dr. Whitfield is now ready to view. Log in to your account at https://mychart-app.com/labs to see the full report. Reach out through the portal if you'd like to discuss the results with your provider. Thanks, Riverside Health",synthetic_llm_batch_url_patch
Safe Email,lab_results_genuine,Your Lab Results Are Now Available,"Fatima, this is a notification that new lab results have been added to your chart. You can review them any time at https://portal.eastsidefamilyclinic.com. Your care team will follow up if any results need discussion. Regards, Eastside Family Clinic",synthetic_llm_batch_url_patch
Safe Email,lab_results_genuine,Your Lab Results Are Now Available,"Hello Kevin, results from your visit on May 22nd are now available. Sign in to your patient account at https://patientportal.riversidehealth.org/results to view the full report and any provider notes. Thank you for choosing Community Health Lab Services.",synthetic_llm_batch_url_patch
Safe Email,lab_results_genuine,Your Lab Results Are Now Available,"Hi Rachel, Dr. Sato has released your lab results to your online chart. View them at https://mychart-app.com/my-results whenever it's convenient. Message us through the portal with any questions. Best, Riverside Health",synthetic_llm_batch_url_patch
Safe Email,lab_results_genuine,Your Lab Results Are Now Available,"Hello Omar, your recent lab results have been posted to your patient portal. You can view them by logging in at https://portal.eastsidefamilyclinic.com/results. If you have questions about your results, please schedule a follow-up appointment or send a message through the portal. Best, Eastside Family Clinic",synthetic_llm_batch_url_patch
